msrp,invoice,disp,cyl,hp,weight,wheelbase,length,width,sports,suv,wagon,minivan,pickup,AWD,RWD,coupe,sedan,mpgclass,cmpg,hmpg
19110,17911,2,3,73,1850,95,155,67,0,0,0,0,0,0,0,1,0,2,60,66
20510,18926,1.5,4,110,2890,106,175,68,0,0,0,0,0,0,0,0,1,2,59,51
20140,18451,1.4,4,93,2732,103,175,68,0,0,0,0,0,0,0,0,1,2,46,51
21055,19638,1.9,4,100,3003,99,172,68,0,0,0,0,0,0,0,0,1,2,38,46
14170,12996,1.7,4,117,2500,103,175,67,0,0,0,0,0,0,0,1,0,2,36,44
11290,10642,1.5,4,108,2055,93,163,65,0,0,0,0,0,0,0,0,1,2,35,43
10760,10144,1.5,4,108,2035,93,163,65,0,0,0,0,0,0,0,1,0,2,35,43
11560,10896,1.5,4,108,2085,93,163,65,0,0,0,0,0,0,0,1,0,2,33,39
17750,16265,1.7,4,127,2601,103,175,68,0,0,0,0,0,0,0,0,1,2,32,37
15850,14531,1.7,4,115,2513,103,175,68,0,0,0,0,0,0,0,0,1,2,32,38
15295,13889,1.8,4,130,2524,102,178,67,0,0,0,0,0,0,0,0,1,2,32,40
15030,13650,1.8,4,130,2524,102,178,67,0,0,0,0,0,0,0,0,1,2,32,40
14085,13065,1.8,4,130,2502,102,178,67,0,0,0,0,0,0,0,0,1,2,32,40
13270,12175,1.7,4,115,2432,103,175,67,0,0,0,0,0,0,0,1,0,2,32,38
12965,12340,1.5,4,108,2340,93,154,67,0,0,0,0,0,0,0,0,1,2,32,38
14165,13480,1.5,4,108,2425,98,155,67,0,0,1,0,0,0,0,0,0,2,31,35
17045,15973,1.8,4,130,2701,102,172,70,0,0,1,0,0,0,1,0,0,2,29,36
16695,15156,1.8,4,130,2679,102,171,70,0,0,1,0,0,0,0,0,0,2,29,36
15040,14086,2,4,132,2626,105,174,67,0,0,0,0,0,0,0,0,1,2,29,36
13670,12849,2,4,132,2581,105,174,67,0,0,0,0,0,0,0,0,1,2,29,36
11939,11209,1.6,4,103,2339,96,167,66,0,0,0,0,0,0,0,1,0,2,29,33
11839,11116,1.6,4,103,2290,96,167,66,0,0,0,0,0,0,0,0,1,2,29,33
10539,10107,1.6,4,103,2255,96,167,66,0,0,0,0,0,0,0,1,0,2,29,33
16999,15437,1.6,4,115,2524,97,143,67,0,0,0,0,0,0,0,1,0,2,28,37
14740,13747,1.8,4,126,2581,100,178,67,0,0,0,0,0,0,0,0,1,2,28,35
12740,12205,1.8,4,126,2513,100,178,67,0,0,0,0,0,0,0,0,1,2,28,35
12585,11802,1.6,4,103,2348,98,153,66,0,0,0,0,0,0,0,0,1,2,28,34
11690,10965,1.6,4,103,2370,98,167,66,0,0,0,0,0,0,0,0,1,2,28,34
13730,12906,2,4,110,2606,103,168,67,0,0,0,0,0,0,0,0,1,2,27,36
25130,22787,1.8,4,138,2195,97,153,67,1,0,0,0,0,0,1,1,0,2,26,32
22260,20080,2.4,4,160,3047,105,188,71,0,0,0,0,0,0,0,1,0,2,26,34
19860,17924,2.4,4,160,2994,105,188,71,0,0,0,0,0,0,0,1,0,2,26,34
19490,17849,2,4,160,2782,101,166,67,0,0,0,0,0,0,0,1,0,2,26,30
17475,16375,2,4,130,2702,103,178,67,0,0,1,0,0,0,0,0,0,2,26,33
16385,15357,2.2,4,140,2617,104,183,69,0,0,0,0,0,0,0,1,0,2,26,37
16350,15299,2.2,4,140,2751,103,185,68,0,0,0,0,0,0,0,1,0,2,26,35
15825,14811,2.2,4,140,2692,103,185,67,0,0,0,0,0,0,0,0,1,2,26,35
15580,14607,2,4,130,2691,103,168,67,0,0,0,0,0,0,0,0,0,2,26,33
15460,14496,2,4,130,2606,103,168,67,0,0,0,0,0,0,0,0,1,2,26,33
15389,14207,2,4,138,2698,103,178,68,0,0,0,0,0,0,0,0,1,2,26,34
15389,14207,2,4,138,2635,103,178,68,0,0,0,0,0,0,0,0,1,2,26,34
14850,13904,2.2,4,140,2751,103,185,68,0,0,0,0,0,0,0,1,0,2,26,35
14810,13884,2.2,4,140,2676,104,183,68,0,0,0,0,0,0,0,0,1,2,26,37
14610,13697,2.2,4,140,2617,104,183,69,0,0,0,0,0,0,0,1,0,2,26,37
14300,13393,2.2,4,140,2692,103,185,67,0,0,0,0,0,0,0,0,1,2,26,35
13839,12781,2,4,138,2635,103,178,68,0,0,0,0,0,0,0,0,1,2,26,34
13270,12482,2,4,130,2612,103,168,67,0,0,0,0,0,0,0,1,0,2,26,33
11905,11410,1.6,4,104,2447,95,167,66,0,0,1,0,0,0,0,0,0,2,26,33
10995,10319,2.2,4,140,2692,103,185,67,0,0,0,0,0,0,0,0,1,2,26,35
10280,9875,1.6,4,104,2403,95,167,66,0,0,0,0,0,0,0,0,1,2,26,33
19999,18137,1.6,4,163,2678,97,144,67,0,0,0,0,0,0,0,1,0,2,25,34
14500,14317,2.3,4,155,2676,98,171,68,0,0,0,0,0,0,0,0,1,2,25,31
12884,12719,2.3,4,155,2676,98,171,68,0,0,0,0,0,0,0,0,1,2,25,31
11155,10705,1.6,4,104,2458,95,167,66,0,0,0,0,0,0,0,0,1,2,25,32
23820,21761,2,4,200,2778,101,172,68,0,0,0,0,0,0,0,1,0,2,24,31
23560,21779,2.2,4,140,3109,107,190,69,0,0,1,0,0,0,0,0,0,2,24,34
23215,21689,2,4,115,3082,99,161,68,0,0,0,0,0,0,0,1,0,2,24,30
22570,20363,1.8,4,180,2500,102,171,68,1,0,0,0,0,0,0,1,0,2,24,33
21055,19638,1.8,4,150,2820,99,161,68,0,0,0,0,0,0,0,1,0,2,24,31
19825,18109,1.8,4,180,2934,99,168,68,0,0,0,0,0,0,0,1,0,2,24,31
19635,17722,2.4,4,157,3175,107,193,72,0,0,0,0,0,0,0,1,0,2,24,33
19560,17558,2.4,4,157,3086,107,189,71,0,0,0,0,0,0,0,0,1,2,24,33
19270,17817,2.3,4,160,3042,105,187,70,0,0,0,0,0,0,0,0,1,2,24,32
19005,17427,2,4,115,3034,99,174,68,0,0,1,0,0,0,0,0,0,2,24,30
18995,17434,2.2,4,145,3174,106,188,70,0,0,0,0,0,0,0,0,1,2,24,34
18825,17642,2.2,4,140,2946,107,187,70,0,0,0,0,0,0,0,1,0,2,24,32
18715,17478,2,4,115,2897,99,165,68,0,0,0,0,0,0,0,0,1,2,24,31
17735,16369,2.2,4,140,2771,104,182,68,0,0,0,0,0,0,0,1,0,2,24,33
16497,16291,2.3,4,155,2932,98,167,68,0,0,1,0,0,1,0,0,0,2,24,29
15495,14375,2.2,4,140,2771,104,182,68,0,0,0,0,0,0,0,1,0,2,24,33
14840,14070,2.3,4,143,2960,112,188,69,0,0,0,0,1,0,1,0,0,2,24,29
14630,13790,1.8,4,124,2697,101,178,68,0,0,0,0,0,0,0,0,1,2,24,32
14385,13717,2.3,4,143,3028,111,203,69,0,0,0,0,1,0,1,0,0,2,24,29
13580,12830,1.8,4,124,2686,101,178,68,0,0,0,0,0,0,0,0,1,2,24,32
12360,11630,1.8,4,124,2661,101,178,68,0,0,0,0,0,0,0,0,1,2,24,32
12269,12116,2,4,119,2701,102,177,68,0,0,0,0,0,0,0,0,1,2,24,31
35940,32506,1.8,4,170,3638,105,180,70,0,0,0,0,0,0,0,1,0,2,23,30
